6,19,0,0,0,1,0
28,20,2,1,0,0,1
10,10,3,0,1,1,0
23,2,1,0,1,1,0
11,29,1,1,1,1,1
20,0,3,1,1,0,1
11,24,0,0,0,0,0
9,31,3,1,1,0,1
29,29,2,1,0,1,1
22,19,3,0,0,0,0
18,6,0,0,0,1,0
3,24,3,1,1,1,1
8,25,0,1,1,1,1
14,27,2,1,0,1,1
14,2,1,0,1,1,0
7,3,1,1,1,1,1
9,3,1,0,0,1,0
25,11,1,1,1,1,1
13,30,3,0,1,1,0
22,27,0,1,1,0,1
15,12,1,0,0,1,0
25,24,3,1,1,0,1
8,28,2,0,0,0,0
6,8,3,0,1,1,0
23,30,2,0,0,1,0
2,2,0,0,0,1,0
6,25,0,1,0,0,1
7,11,1,0,1,0,0
22,29,3,0,0,1,0
7,21,2,0,0,0,0
4,14,1,0,0,0,0
25,22,2,1,0,0,1
8,14,2,1,1,1,1
12,18,2,1,0,0,1
19,28,3,1,1,0,1
22,6,0,0,0,0,0
3,12,3,0,0,0,0
21,27,1,1,0,1,1
24,20,1,1,1,1,1
11,19,1,1,0,1,1
25,22,3,0,0,1,0
0,0,0,0,1,0,0
19,12,0,0,0,1,0
7,26,0,1,0,0,1
18,9,3,1,0,0,1
21,31,3,1,0,1,1
16,29,0,1,1,1,1
29,6,1,0,0,0,0
16,23,0,0,0,1,0
1,27,1,0,0,1,0
0,0,2,1,1,0,1
11,25,3,1,1,0,1
3,22,2,1,0,0,1
30,5,3,0,1,1,0
5,21,2,0,1,1,0
0,8,3,0,1,1,0
28,2,3,1,0,1,1
18,25,2,0,0,1,0
31,6,3,0,0,1,0
31,6,1,1,0,0,1
27,24,0,1,0,0,1
29,9,2,0,1,1,0
25,15,0,1,1,0,1
1,0,3,1,1,0,1
4,31,2,0,0,0,0
2,18,3,1,0,1,1
23,21,3,0,1,1,0
10,16,3,1,1,1,1
19,29,2,1,1,0,1
2,24,0,1,1,1,1
17,1,1,0,1,0,0
8,3,0,1,0,1,1
20,15,3,1,1,1,1
6,2,0,1,0,1,1
11,26,2,1,0,1,1
13,29,1,1,0,0,1
21,7,2,0,1,0,0
29,0,3,0,1,0,0
4,27,0,1,0,1,1
2,31,0,1,0,1,1
27,29,0,1,0,1,1
2,27,0,0,1,0,0
16,13,0,0,0,1,0
0,19,2,0,0,1,0
22,0,3,0,1,1,0
24,9,2,1,1,0,1
7,13,3,1,1,0,1
21,22,1,0,0,1,0
1,25,0,1,0,0,1
10,21,3,0,0,1,0
22,25,2,1,0,1,1
12,27,1,0,0,1,0
12,19,0,1,1,1,1
15,13,3,0,0,0,0
27,1,1,1,0,0,1
21,18,0,1,0,1,1
28,21,1,1,1,0,1
19,9,1,0,1,0,0
27,4,0,1,0,1,1
11,11,0,0,1,1,0
